 &plot nbnd=  53, nks=    61 /
            0.000000  0.000000  0.000000
  -43.633  -43.624  -43.611  -43.601  -43.444  -43.436  -20.224  -20.096  -20.096  -19.904
  -19.702  -19.702  -19.697  -19.697  -19.686  -19.686  -19.682  -19.680  -19.680  -19.617
  -19.533  -19.533  -19.526  -19.526    1.265    1.334    2.678    2.805    7.492    7.862
    9.727   10.275   10.275   10.313   10.313   10.596   11.272   11.415   11.415   11.500
   11.500   11.694   13.669   13.669   13.696   13.798   13.798   13.953   14.591   14.591
   14.733   14.733   14.943
            0.025000  0.014434  0.000000
  -43.633  -43.624  -43.611  -43.601  -43.443  -43.436  -20.223  -20.096  -20.095  -19.904
  -19.705  -19.703  -19.703  -19.698  -19.688  -19.687  -19.683  -19.681  -19.678  -19.617
  -19.535  -19.533  -19.528  -19.526    1.275    1.344    2.683    2.809    7.505    7.875
    9.700   10.276   10.279   10.297   10.317   10.624   11.204   11.414   11.462   11.472
   11.497   11.696   13.659   13.676   13.691   13.783   13.807   13.954   14.572   14.576
   14.726   14.754   14.897
            0.050000  0.028867  0.000000
  -43.632  -43.623  -43.610  -43.600  -43.443  -43.436  -20.221  -20.096  -20.093  -19.904
  -19.716  -19.710  -19.705  -19.699  -19.694  -19.690  -19.688  -19.682  -19.672  -19.616
  -19.540  -19.534  -19.533  -19.527    1.307    1.374    2.698    2.821    7.547    7.913
    9.633   10.196   10.291   10.328   10.349   10.683   11.075   11.395   11.408   11.490
   11.523   11.708   13.623   13.684   13.697   13.736   13.833   13.958   14.511   14.536
   14.735   14.796   14.813
            0.075000  0.043301  0.000000
  -43.630  -43.621  -43.609  -43.599  -43.442  -43.434  -20.217  -20.095  -20.089  -19.905
  -19.732  -19.721  -19.708  -19.705  -19.701  -19.701  -19.691  -19.684  -19.668  -19.615
  -19.549  -19.541  -19.536  -19.529    1.358    1.424    2.722    2.840    7.616    7.977
    9.546   10.099   10.312   10.349   10.411   10.747   10.923   11.271   11.398   11.477
   11.563   11.734   13.560   13.656   13.677   13.733   13.877   13.967   14.400   14.506
   14.717   14.769   14.833
            0.100000  0.057735  0.000000
  -43.628  -43.620  -43.607  -43.597  -43.440  -43.433  -20.211  -20.094  -20.084  -19.905
  -19.750  -19.734  -19.720  -19.715  -19.712  -19.705  -19.695  -19.687  -19.664  -19.614
  -19.561  -19.553  -19.538  -19.531    1.430    1.493    2.755    2.866    7.709    8.063
    9.451    9.993   10.338   10.374   10.455   10.762   10.804   11.109   11.383   11.460
   11.585   11.769   13.467   13.545   13.667   13.782   13.937   13.978   14.272   14.490
   14.619   14.814   14.816
            0.125000  0.072169  0.000000
  -43.626  -43.618  -43.604  -43.595  -43.439  -43.431  -20.205  -20.094  -20.078  -19.907
  -19.771  -19.751  -19.739  -19.732  -19.717  -19.709  -19.701  -19.691  -19.662  -19.613
  -19.575  -19.567  -19.541  -19.534    1.519    1.580    2.794    2.897    7.826    8.170
    9.357    9.887   10.368   10.404   10.430   10.645   10.851   10.918   11.363   11.437
   11.601   11.806   13.346   13.411   13.659   13.844   13.990   14.013   14.150   14.492
   14.530   14.820   14.860
            0.150000  0.086602  0.000000
